id	sentiment	review
0	0	13 meters  You should see it
1	0	Okay take her up and over the bow rail
2	0	Okay Mir2 we re going over the bow  Stay with us
3	0	Okay quiet  We re rolling
4	0	Seeing her coming out of the darkness like a ghost ship
5	0	still gets me every time
6	1	To see the sad ruin of the great ship sitting here
7	1	where she landed at 2 30 in the morning of April 15 1912
8	1	after her long fall
9	1	from the world above
10	4	You re so full of shit boss
11	0	Dive 6
12	0	Here we are again on the deck of Titanic
13	0	2  miles down
14	0	3  821 meters
15	0	The pressure outside is 3 tons per square inch
16	0	These windows are 9 inches thick and if they go
17	1	it s sayonara in 2 microseconds
18	1	All right enough of that bullshit
19	0	Just put her down on the roof of the officers  quarters like yesterday
20	0	Sure
21	0	Okay Mir2 we re landing right over the Grand Staircase
22	0	You guys set to launch
23	0	Yeah Brock launching Dunkin now  Go Charlie
24	0	All right tether out Tether out
25	0	Okay Brock we re dropping down along the hull
26	0	Yeah roger that  Okay drop down and go into the firstclass gangway door
27	0	I want you guys working the  D  deck reception area and the dining saloon
28	0	Copy that
29	0	Tether out Tether out
30	0	Okay now left  Now left  Left left
31	0	Snoop Dog is on the move  We re headed down the stairwell
32	0	Okay Lewis drop down to  B  deck
33	0	A deck
34	0	Give me some rope Captain  B  deck  Get in there
35	0	Watch the door frame  Watch it I see it  I got it
36	0	We re good  Just chill boss
37	0	Okay make your turn
38	0	Cable out Captain Make your turn  Watch the wall
39	0	Brock we re at the piano  You copy
40	0	Copy that
41	0	Right there
42	0	That s it  That s the bedroom door I see it
43	4	We re in  We re in baby  We re there
44	4	That s Hockley s bed  That s where the son of a bitch slept
45	4	Oops  Somebody left the water running
46	0	Hold it  Just a second  Go back to the right
47	0	That wardrobe door  Get closer
48	0	You re smelling something boss I want to see what s under it
49	0	Give me my hands man
50	0	All right
51	0	Take it easy  It might come apart Okay
52	0	Okay go  Flip it over  Go  Turn over
53	0	Keep going  Go
54	0	Okay drop it
55	0	Oh baby  Are you seeing this boss
56	4	It s payday boys
57	4	Chaching
58	4	We did it Bobby We brought it back
59	4	Oh yeah  You the man
60	4	Who s the best baby  Say it
61	4	You are Lewis
62	4	Bobby my cigar Right here
63	0	Okay crack her open
64	0	Let me get around  Hang on
65	0	You getting it Got it
66	0	Shit
67	2	No diamond
68	2	You know boss this same thing happened to Geraldo
69	2	and his career never recovered
70	2	Turn the camera off
71	0	Brock  The partners would like to know how it s going
72	4	Hey Dave  Barry hi  Look it wasn t in the safe
73	0	Don t worry about it  There are still plenty of places it could be
74	0	Hell yes
75	0	The floor debris in the suite the mother s room
76	0	The purser  s safe on  C  deck Jimmy Hoffa  s briefcase
77	0	A dozen other places
78	4	Guys look you just got to trust my instincts  I know we re close
79	2	We just got to go through a little process of elimination
80	0	Hang on a second
81	0	Let me see that We might have something here guys
82	0	Where s the photograph of the necklace We ll call you right back
83	0	I ll be goddamned
84	0	Treasure hunter Brock Lovett is best known for finding Spanish gold
85	0	It s okay I ll feed you in a minute
86	0	He has chartered Russian subs to reach the most famous shipwreck of all
87	0	the Titanic
88	0	He s with us live via satellite from the research ship Keldysh
89	0	in the North Atlantic
90	0	Hello Brock Hello Tracy
91	4	Of course everyone knows the familiar stories of Titanic
92	4	You know the nobility of the band playing to the very end and all that
93	4	But what I m interested in are the untold stories
94	4	the secrets locked deep inside the hull of Titanic
95	0	And we re out here using robot technology to go further into the wreck
96	4	than anybody has ever done before
97	0	Your expedition is at the center of a storm
98	0	of controversy over salvage rights and even ethics
99	0	Many are calling you a graverobber
100	0	Nobody ever called the recovery of the artifacts from King Tut s tomb
101	0	What is it Turn that up dear
102	0	I have museumtrained experts sent out here making sure
